category,label,text,language
phishing,scam,"Dear customer, your PAN card is not linked to your Axis Bank account. Link now: http://paytm-official-portal.co",en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://secure.airtel-claim-reward-now.net to continue watching.,en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://secure.amazon-claim-reward-now.net to continue watching.,en
phishing,scam,Paytm Winner! You have been selected for a free gift worth Rs.25000. Claim: http://jio-verify-account-info.com,en
investment_scam,scam,You have been chosen for an exclusive Forex trading group. Deposit Rs.25000 and our AI will trade for you. http://tata-claim-reward-now.net,en
phishing,scam,URGENT: Your Bank of Baroda account KYC has expired. Update immediately at http://secure.tata-secure-login.xyz to avoid suspension.,en
benign,safe,"Salary of Rs.5000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
upi_fraud,scam,Aapke UPI par Rs.5000 bhej diye gaye hain. Confirm karne ke liye apna PIN dalein.,hi
upi_fraud,scam,You have received a payment of Rs.100000 on PhonePe. Enter your UPI pin to claim the amount.,en
upi_fraud,scam,"DEAR CUSTOMER, YOUR FASTAG WALLET IS ALMOST EMPTY. RECHARGE NOW VIA UPI 6302215799@PAYTM TO AVOID DOUBLE TOLL.",en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
upi_fraud,scam,You have received a payment of Rs.9999 on PhonePe. Enter your UPI pin to claim the amount.,en
benign,safe,"Hey, are we still meeting for dinner at 5:00 PM?",en
benign,safe,Can you send me the presentation file before EOD?,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
upi_fraud,scam,Customer Service: Please share the 6-digit OTP to process your refund of Rs.100000 via UPI.,en
benign,safe,"HEY, ARE WE STILL MEETING FOR DINNER AT 5:00 PM?",en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://jio-verify-account-info.com to continue watching.,en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
upi_fraud,scam,"ALERT: Rs.5000 debited from your A/c. If not done by you, forward this SMS to +91-7164864232 to block transaction.",en
investment_scam,scam,Multibagger Stock Tip: Buy 'XYZ Infra' target 500 (Current 40). Insider info! Subscribe to our premium channel Rs.10000.,en
benign,safe,WiFi bill generated for March. Amount due Rs.2000. Pay by 15th.,en
benign,safe,Your Swiggy order #45829 is on the way. Delivery executive will be there in 15 mins.,en
phishing,scam,Your Union Bank internet banking access will be locked in 24 hrs. Verify your identity at http://secure.paytm-update-kyc.in,en
upi_fraud,scam,"Dear Customer, your FASTag wallet is almost empty. Recharge now via UPI 7401091346@okicici to avoid double toll.",en
investment_scam,scam,Double your money in 100 days! Authentic scheme registered with Government. Start investing: http://airtel-official-portal.co,en
phishing,scam,URGENT: Your Yes Bank account KYC has expired. Update immediately at http://secure.airtel-secure-login.xyz to avoid suspension.,en
benign,safe,WiFi bill generated for March. Amount due INR 100. Pay by 15th.,en
investment_scam,scam,Part-time job offer from Amazon. Earn up to Rs.3000/day. Message HR on WhatsApp: +91-7644517029,en
benign,safe,Boarding pass for Air India flight AI452 is attached. Safe travels!,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
investment_scam,scam,Multibagger Stock Tip: Buy 'XYZ Infra' target 500 (Current 40). Insider info! Subscribe to our premium channel INR 9999.,en
phishing,scam,URGENT: Your Union Bank account KYC has expired. Update immediately at http://airtel-secure-login.xyz to avoid suspension.,en
benign,safe,OTP for login to your HDFC account is 906678. Do not share this with anyone.,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 7:45 PM. Please arrive 10 minutes early.,en
benign,safe,OTP for login to your HDFC account is 148649. Do not share this with anyone.,en
upi_fraud,scam,You have received a payment of INR 50000 on PhonePe. Enter your UPI pin to claim the amount.,en
investment_scam,scam,Work from home opportunity! Earn INR 5000 daily by liking YouTube videos. Deposit INR 1500 security fee.,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.5000. Claim it here: http://reliance-secure-login.xyz,en
phishing,scam,Your Union Bank internet banking access will be locked in 24 hrs. Verify your identity at http://secure.tata-verify-account-info.com,en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://secure.amazon-update-kyc.in to continue watching.,en
phishing,scam,Jio Winner! You have been selected for a free gift worth Rs.25000. Claim: http://www.jio-secure-login.xyz,en
benign,safe,Your Uber trip has ended. Total fare: INR 1500.,en
benign,safe,"Salary of Rs.5000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
upi_fraud,scam,Aapke UPI par INR 10000 bhej diye gaye hain. Confirm karne ke liye apna PIN dalein.,hi
upi_fraud,scam,You have received a payment of Rs.100000 on PhonePe. Enter your UPI pin to claim the amount.,en
benign,safe,WiFi bill generated for March. Amount due Rs.250. Pay by 15th.,en
upi_fraud,scam,You have received a payment of Rs.49999 on PhonePe. Enter your UPI pin to claim the amount.,en
upi_fraud,scam,You have received a payment of Rs.49999 on PhonePe. Enter your UPI pin to claim the amount.,en
upi_fraud,scam,"ALERT: Rs.5000 debited from your A/c. If not done by you, forward this SMS to +91-7470157671 to block transaction.",en
phishing,scam,Action Required: Complete your Punjab National Bank Aadhaar linking process today via http://airtel-verify-account-info.com,en
upi_fraud,scam,RELIANCE JIO: YOUR NUMBER HAS BEEN SELECTED FOR 1-YEAR FREE RECHARGE. PAY RS.10 ACTIVATION FEE VIA UPI: 9759231757@OKICICI,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
phishing,scam,"Dear customer, your PAN card is not linked to your Punjab National Bank account. Link now: http://www.amazon-refund-processing.online",en
phishing,scam,"Your Gmail account has been logged in from an unknown device. If this wasn't you, secure your account: http://flipkart-secure-login.xyz",en
upi_fraud,scam,Your electricity bill of Rs.9999 is pending. Power will be disconnected at 9 PM. Pay via UPI: 9183569969@paytm,en
benign,safe,Your Swiggy order #45829 is on the way. Delivery executive will be there in 15 mins.,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
investment_scam,scam,Work from home opportunity! Earn Rs.5000 daily by liking YouTube videos. Deposit Rs.999 security fee.,en
phishing,scam,"Dear customer, your PAN card is not linked to your Union Bank account. Link now: http://www.flipkart-verify-account-info.com",en
benign,safe,Your Uber trip has ended. Total fare: Rs.250.,en
benign,safe,Meeting pushed to 7:45 PM. Please check the updated invite.,en
upi_fraud,scam,You have received a payment of Rs.25000 on PhonePe. Enter your UPI pin to claim the amount.,en
benign,safe,THANKS FOR SHOPPING WITH MYNTRA! YOUR ORDER WILL BE DELIVERED BY THURSDAY.,en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.25000 online using http://www.tata-refund-processing.online and get 10% cashback.",en
investment_scam,scam,Earn Guaranteed 30% monthly returns! Invest Rs.49999 in crypto now. Join Telegram: http://paytm-refund-processing.online,en
benign,safe,OTP for login to your HDFC account is 449814. Do not share this with anyone.,en
phishing,scam,"Your WhatsApp account has been logged in from an unknown device. If this wasn't you, secure your account: http://secure.jio-official-portal.co",en
phishing,scam,YOUR NETFLIX SUBSCRIPTION HAS EXPIRED. RENEW IMMEDIATELY AT HTTP://SECURE.FLIPKART-UPDATE-KYC.IN TO CONTINUE WATCHING.,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.9999. Claim it here: http://secure.paytm-verify-account-info.com,en
benign,safe,Meeting pushed to 10:00 AM. Please check the updated invite.,en
upi_fraud,scam,Your electricity bill of Rs.5000 is pending. Power will be disconnected at 9 PM. Pay via UPI: 8131068293@paytm,en
upi_fraud,scam,You have received a payment of Rs.5000 on PhonePe. Enter your UPI pin to claim the amount.,en
investment_scam,scam,Binance VIP Trading Signals. 99% accuracy. Pay monthly fee of Rs.10000 for access.,en
upi_fraud,scam,"Dear Sir/Madam, your UPI transaction of Rs.50000 failed. Scan the QR code sent on your WhatsApp to process refund.",en
phishing,scam,"Dear Union Bank customer, 15,000 reward points are expiring today. Redeem for cash at http://tata-secure-login.xyz",en
benign,safe,OTP for login to your HDFC account is 699561. Do not share this with anyone.,en
upi_fraud,scam,"ALERT: Rs.25000 debited from your A/c. If not done by you, forward this SMS to +91-9280082601 to block transaction.",en
benign,safe,Can you send me the presentation file before EOD?,en
investment_scam,scam,Earn Guaranteed 30% monthly returns! Invest Rs.25000 in crypto now. Join Telegram: http://www.airtel-update-kyc.in,en
benign,safe,DID YOU WATCH THE MATCH YESTERDAY? WHAT A CRAZY FINISH!,en
phishing,scam,"Your WhatsApp account has been logged in from an unknown device. If this wasn't you, secure your account: http://flipkart-update-kyc.in",en
phishing,scam,ACTION REQUIRED: COMPLETE YOUR PUNJAB NATIONAL BANK AADHAAR LINKING PROCESS TODAY VIA HTTP://SECURE.TATA-SECURE-LOGIN.XYZ,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
benign,safe,WiFi bill generated for March. Amount due Rs.999. Pay by 15th.,en
benign,safe,Your Uber trip has ended. Total fare: INR 500.,en
investment_scam,scam,"Make Rs.50,000 per month with simple data entry. Zero investment plan requires Rs.2000 registration. http://www.airtel-update-kyc.in",en
investment_scam,scam,"Make Rs.50,000 per month with simple data entry. Zero investment plan requires Rs.100 registration. http://www.amazon-claim-reward-now.net",en
upi_fraud,scam,"ALERT: Rs.10000 debited from your A/c. If not done by you, forward this SMS to +91-7004438081 to block transaction.",en
investment_scam,scam,IPO Alert: Apply for Pre-IPO shares of Tata. 500% returns expected in 3 months. Register: http://jio-secure-login.xyz,en
investment_scam,scam,Part-time job offer from Amazon. Earn up to Rs.3000/day. Message HR on WhatsApp: +91-7370657726,en
phishing,scam,"Dear Axis Bank customer, 15,000 reward points are expiring today. Redeem for cash at http://www.tata-claim-reward-now.net",en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.10000. Claim it here: http://secure.amazon-update-kyc.in,en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.5000 online using http://amazon-update-kyc.in and get 10% cashback.",en
phishing,scam,Airtel Winner! You have been selected for a free gift worth Rs.49999. Claim: http://jio-refund-processing.online,en
upi_fraud,scam,Aapke UPI par Rs.50000 bhej diye gaye hain. Confirm karne ke liye apna PIN dalein.,hi
phishing,scam,"Dear customer, your PAN card is not linked to your Yes Bank account. Link now: http://airtel-refund-processing.online",en
benign,safe,Your Swiggy order #45829 is on the way. Delivery executive will be there in 15 mins.,en
phishing,scam,"Your Instagram account has been logged in from an unknown device. If this wasn't you, secure your account: http://www.flipkart-refund-processing.online",en
benign,safe,Meeting pushed to 9:00 AM. Please check the updated invite.,en
investment_scam,scam,Part-time job offer from Amazon. Earn up to Rs.3000/day. Message HR on WhatsApp: +91-7835431851,en
benign,safe,OTP for login to your HDFC account is 396328. Do not share this with anyone.,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 424666.,en
upi_fraud,scam,You have received a payment of Rs.25000 on PhonePe. Enter your UPI pin to claim the amount.,en
phishing,scam,"DEAR SBI CUSTOMER, 15,000 REWARD POINTS ARE EXPIRING TODAY. REDEEM FOR CASH AT HTTP://AMAZON-VERIFY-ACCOUNT-INFO.COM",en
phishing,scam,Your HDFC internet banking access will be locked in 24 hrs. Verify your identity at http://secure.jio-verify-account-info.com,en
upi_fraud,scam,Congratulations! You won Rs.5000 cashback on Google Pay. Click here and enter PIN to receive: http://paytm-secure-login.xyz,en
phishing,scam,URGENT: Your Punjab National Bank account KYC has expired. Update immediately at http://amazon-official-portal.co to avoid suspension.,en
phishing,scam,"Your Apple ID account has been logged in from an unknown device. If this wasn't you, secure your account: http://flipkart-official-portal.co",en
benign,safe,Boarding pass for Air India flight AI452 is attached. Safe travels!,en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.9999 online using http://www.jio-official-portal.co and get 10% cashback.",en
upi_fraud,scam,Your electricity bill of Rs.25000 is pending. Power will be disconnected at 9 PM. Pay via UPI: 7279637204@oksbi,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.25000. Claim it here: http://tata-secure-login.xyz,en
phishing,scam,URGENT: Your Axis Bank account KYC has expired. Update immediately at http://secure.reliance-update-kyc.in to avoid suspension.,en
benign,safe,Meeting pushed to 7:45 PM. Please check the updated invite.,en
phishing,scam,Tata Winner! You have been selected for a free gift worth Rs.10000. Claim: http://www.airtel-refund-processing.online,en
benign,safe,"Salary of Rs.5000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
phishing,scam,Your Axis Bank internet banking access will be locked in 24 hrs. Verify your identity at http://www.flipkart-update-kyc.in,en
benign,safe,"Salary of INR 50000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: INR 1,45,200.",en
benign,safe,Can you send me the presentation file before EOD?,en
benign,safe,Your Uber trip has ended. Total fare: Rs.1500.,en
benign,safe,"Hey, are we still meeting for dinner at 7:45 PM?",en
benign,safe,Your Uber trip has ended. Total fare: Rs.1500.,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
phishing,scam,URGENT: Your Yes Bank account KYC has expired. Update immediately at http://airtel-verify-account-info.com to avoid suspension.,en
phishing,scam,Your SBI internet banking access will be locked in 24 hrs. Verify your identity at http://www.flipkart-claim-reward-now.net,en
upi_fraud,scam,Your Paytm KYC details are incomplete. Your wallet will be blocked. Call +91-9748174263 to update.,en
benign,safe,"Hey, are we still meeting for dinner at 10:00 AM?",en
benign,safe,"Salary of Rs.10000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
benign,safe,Can you send me the presentation file before EOD?,en
phishing,scam,URGENT: Your Axis Bank account KYC has expired. Update immediately at http://www.paytm-refund-processing.online to avoid suspension.,en
benign,safe,Boarding pass for Air India flight AI452 is attached. Safe travels!,en
phishing,scam,"Dear customer, your PAN card is not linked to your Kotak account. Link now: http://secure.reliance-verify-account-info.com",en
benign,safe,Meeting pushed to 5:00 PM. Please check the updated invite.,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 478004.,en
benign,safe,Boarding pass for Air India flight AI452 is attached. Safe travels!,en
benign,safe,"Salary of Rs.5000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
investment_scam,scam,Multibagger Stock Tip: Buy 'XYZ Infra' target 500 (Current 40). Insider info! Subscribe to our premium channel Rs.25000.,en
benign,safe,OTP for login to your HDFC account is 479521. Do not share this with anyone.,en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 605986.,en
phishing,scam,"Your Gmail account has been logged in from an unknown device. If this wasn't you, secure your account: http://www.airtel-secure-login.xyz",en
upi_fraud,scam,"Dear Customer, your FASTag wallet is almost empty. Recharge now via UPI 8207239674@oksbi to avoid double toll.",en
phishing,scam,Jio Winner! You have been selected for a free gift worth Rs.49999. Claim: http://paytm-refund-processing.online,en
phishing,scam,Your Canara Bank internet banking access will be locked in 24 hrs. Verify your identity at http://secure.reliance-secure-login.xyz,en
phishing,scam,"Dear SBI customer, 15,000 reward points are expiring today. Redeem for cash at http://www.paytm-claim-reward-now.net",en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
phishing,scam,Your Bank of Baroda internet banking access will be locked in 24 hrs. Verify your identity at http://secure.amazon-claim-reward-now.net,en
upi_fraud,scam,"Dear Customer, your FASTag wallet is almost empty. Recharge now via UPI 8520962927@paytm to avoid double toll.",en
benign,safe,Your Uber trip has ended. Total fare: Rs.2000.,en
phishing,scam,"DEAR CUSTOMER, YOUR PAN CARD IS NOT LINKED TO YOUR HDFC ACCOUNT. LINK NOW: HTTP://WWW.FLIPKART-SECURE-LOGIN.XYZ",en
benign,safe,YOUR AMAZON PACKAGE IS OUT FOR DELIVERY. OTP TO SHARE WITH AGENT IS 273213.,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 2:30 PM. Please arrive 10 minutes early.,en
investment_scam,scam,IPO Alert: Apply for Pre-IPO shares of Tata. 500% returns expected in 3 months. Register: http://www.amazon-claim-reward-now.net,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM. Please arrive 10 minutes early.,en
benign,safe,OTP for login to your HDFC account is 558383. Do not share this with anyone.,en
benign,safe,Your Uber trip has ended. Total fare: Rs.500.,en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay INR 10 activation fee via UPI: 6083516283@ybl,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
phishing,scam,Action Required: Complete your HDFC Aadhaar linking process today via http://www.airtel-verify-account-info.com,en
phishing,scam,"Dear customer, your PAN card is not linked to your SBI account. Link now: http://tata-claim-reward-now.net",en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://www.airtel-claim-reward-now.net to continue watching.,en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://www.tata-refund-processing.online to continue watching.,en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://www.tata-verify-account-info.com to continue watching.,en
investment_scam,scam,You have been chosen for an exclusive Forex trading group. Deposit Rs.49999 and our AI will trade for you. http://www.flipkart-verify-account-info.com,en
benign,safe,WiFi bill generated for March. Amount due Rs.2000. Pay by 15th.,en
benign,safe,Can you send me the presentation file before EOD?,en
upi_fraud,scam,Congratulations! You won Rs.100000 cashback on Google Pay. Click here and enter PIN to receive: http://www.flipkart-claim-reward-now.net,en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 9228440766@ybl,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.9999. Claim it here: http://www.tata-claim-reward-now.net,en
benign,safe,Your Swiggy order #45829 is on the way. Delivery executive will be there in 15 mins.,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 787447.,en
phishing,scam,Action Required: Complete your Yes Bank Aadhaar linking process today via http://www.amazon-refund-processing.online,en
upi_fraud,scam,Aapke UPI par Rs.9999 bhej diye gaye hain. Confirm karne ke liye apna PIN dalein.,hi
benign,safe,OTP for login to your HDFC account is 358576. Do not share this with anyone.,en
phishing,scam,INCOME TAX NOTICE: YOU HAVE A PENDING REFUND OF RS.49999. CLAIM IT HERE: HTTP://SECURE.JIO-OFFICIAL-PORTAL.CO,en
benign,safe,Meeting pushed to 9:00 AM. Please check the updated invite.,en
phishing,scam,Your Union Bank internet banking access will be locked in 24 hrs. Verify your identity at http://secure.reliance-official-portal.co,en
benign,safe,WiFi bill generated for March. Amount due Rs.100. Pay by 15th.,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.25000. Claim it here: http://secure.paytm-update-kyc.in,en
phishing,scam,Action Required: Complete your Canara Bank Aadhaar linking process today via http://tata-refund-processing.online,en
upi_fraud,scam,AAPKE UPI PAR RS.50000 BHEJ DIYE GAYE HAIN. CONFIRM KARNE KE LIYE APNA PIN DALEIN.,en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
phishing,scam,"Dear Yes Bank customer, 15,000 reward points are expiring today. Redeem for cash at http://airtel-verify-account-info.com",en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
phishing,scam,Your ICICI internet banking access will be locked in 24 hrs. Verify your identity at http://airtel-official-portal.co,en
upi_fraud,scam,"ALERT: Rs.49999 debited from your A/c. If not done by you, forward this SMS to +91-8872809009 to block transaction.",en
upi_fraud,scam,Your Paytm KYC details are incomplete. Your wallet will be blocked. Call +91-8634164212 to update.,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 5:00 PM. Please arrive 10 minutes early.,en
upi_fraud,scam,"Dear Customer, your FASTag wallet is almost empty. Recharge now via UPI 9176059433@oksbi to avoid double toll.",en
benign,safe,Your Swiggy order #45829 is on the way. Delivery executive will be there in 15 mins.,en
investment_scam,scam,RBI Approved SIP: Invest Rs.1000/month and get 1 Crore in 5 years. Start your journey today: http://secure.jio-refund-processing.online,en
phishing,scam,"Dear Bank of Baroda customer, 15,000 reward points are expiring today. Redeem for cash at http://secure.amazon-update-kyc.in",en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM. Please arrive 10 minutes early.,en
benign,safe,THANKS FOR SHOPPING WITH MYNTRA! YOUR ORDER WILL BE DELIVERED BY THURSDAY.,en
investment_scam,scam,IPO Alert: Apply for Pre-IPO shares of Jio. 500% returns expected in 3 months. Register: http://reliance-official-portal.co,en
upi_fraud,scam,Customer Service: Please share the 6-digit OTP to process your refund of Rs.100000 via UPI.,en
benign,safe,"Salary of INR 25000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: INR 1,45,200.",en
